mode,peak_gpu_memory_mb,prompt_tps,generation_tps,has_evm_counters,env,log,interpretation
traditional_fit_auto_19500,4584,0.60,1.00,false,"EVM_DISABLE=1; -ngl auto; --fit on; --fit-target 19500; --kv-offload",".\results\budgeted_runs\qwen2_traditional_fit_auto_19500_control.log","Traditional constrained llama.cpp fit/offload baseline under low VRAM intent."
cpu_backed_residency_33,5370,2.40,4.60,false,"EVM_CAPACITY_PCT=33; EVM_CPU_BACKING=1; EVM_TARGET_EXPERT_COUNT=64; -ngl 99; --kv-offload; --no-mmap",".\results\controlled_final\logs\qwen2_57b_a14b_cpu_backed_residency.log","EVM CPU-backed residency proof: VRAM-saving placement and speed improvement over constrained fit/offload, but no EVM CUDA counters."
unified_streaming_33,19493,1.00,1.90,true,"EVM_CAPACITY_PCT=33; EVM_CPU_BACKING=1; EVM_CUDA_STREAMING=1; EVM_EXPERT_POOL_MB=2048; EVM_TARGET_EXPERT_COUNT=64; -ngl 99; --kv-offload; --no-mmap",".\results\controlled_final\logs\qwen2_57b_a14b_unified_streaming.log","Strict counter-emitting EVM CUDA pool proof; valid but not optimized."
unified_streaming_63_optimized_mean,23227,1.03,4.90,true,"EVM_CAPACITY_PCT=63; EVM_CPU_BACKING=1; EVM_CUDA_STREAMING=1; EVM_EXPERT_POOL_MB=6144; EVM_CUDA_FREE_RESERVE_MB=512; EVM_PREFILL_BATCH_THRESHOLD=999; EVM_TARGET_EXPERT_COUNT=64; -ngl 99; --kv-offload; --no-mmap","results/budgeted_runs/qwen2_unified_cap63_reserve512_no_prefill_expand_probe.log; results/budgeted_runs/qwen2_unified_cap63_reserve512_no_prefill_expand_trial2.log; results/budgeted_runs/qwen2_unified_cap63_reserve512_no_prefill_expand_trial3.log","Optimized counter-emitting EVM streaming configuration; 3/3 valid, generation t/s 5.5/4.0/5.2, mean 4.90."
unified_streaming_metrics_off_33,19439,1.00,2.00,false,"EVM_CAPACITY_PCT=33; EVM_CPU_BACKING=1; EVM_CUDA_STREAMING=1; EVM_DISABLE_METRICS=1; EVM_EXPERT_POOL_MB=2048; EVM_TARGET_EXPERT_COUNT=64; -ngl 99; --kv-offload; --no-mmap",".\results\budgeted_runs\qwen2_unified_metrics_off_probe.log","Metrics-off A/B: disabling counter increments does not materially improve the 33% unified row."
unified_streaming_exact8_mean,9113,0.90,2.03,true,"EVM_EXPERTS_PER_TENSOR=8; EVM_CAPACITY_PCT=13; EVM_CPU_BACKING=1; EVM_CUDA_STREAMING=1; EVM_STRICT_BUDGET=1; EVM_PREFILL_BATCH_THRESHOLD=999; EVM_TARGET_EXPERT_COUNT=64; -ub 1; --kv-offload; --no-mmap","results/production_evm/production_benchmark.json","Strict compact production row: 3/3 valid 16-token trials, generation 1.5/2.3/2.3 t/s, max peak VRAM 9,113 MB, hit rate 28.92%."
native_max_gpu_shared_tuned,23951,0.00,6.30,false,"EVM_DISABLE=1; -ngl 99; --flash-attn on; -ub 1; --kv-offload; --mmap","results/native_cuda_tuning/runs/qwen2_native_fa_on_ub1_t01.json","Fastest safe native tuning row. The 34.9 GB model does not fit in 24 GB VRAM, so this is a WDDM shared-host-spill baseline, not full-GPU residency. Peak process RSS was 24,025 MB."
cpu_backed_memory_instrumented,5485,0.00,3.90,false,"EVM_CAPACITY_PCT=33; EVM_CPU_BACKING=1; EVM_TARGET_EXPERT_COUNT=64; -ngl 99; --kv-offload; --no-mmap","results/production_evm/runs/qwen2_cpu_backed_t01.json","VRAM-saving control with 23,719 MB peak process RSS, 34,327 MB private commit, and 4,192 MB page-file growth."
ram_unified_exact8_memory_instrumented,9116,0.00,1.90,true,"EVM_EXPERTS_PER_TENSOR=8; EVM_CAPACITY_PCT=13; EVM_CPU_BACKING=1; EVM_CUDA_STREAMING=1; EVM_STRICT_BUDGET=1; EVM_TARGET_EXPERT_COUNT=64; -ub 1; --kv-offload; --no-mmap","results/production_evm/runs/qwen2_compact_async_t01.json","Compact CUDA remapping control with 24,115 MB process RSS and 5,092 MB page-file growth; it does not bound total residency."
disk_unified_exact8_mean,9146,0.00,0.40,true,"EVM_EXPERTS_PER_TENSOR=8; EVM_CAPACITY_PCT=13; EVM_CPU_BACKING=1; EVM_CUDA_STREAMING=1; EVM_DISK_BACKING=1; EVM_DISK_TRIM=1; EVM_DISK_TRIM_INTERVAL=1; EVM_STRICT_BUDGET=1; EVM_TARGET_EXPERT_COUNT=64; -ub 1; --kv-offload; --mmap","results/production_evm/runs/qwen2_disk_compact_async_t01.json; t02.json; t03.json","Final targeted-loading proof: 3/3 valid, 9,146 MB maximum VRAM, 4,762 MB maximum process RSS, and zero page-file growth."
